Date,Day,Month,Year,Customer_Age,Age_Group,Age_Group_NUMBER,Customer_Gender,Country,Product_Category,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
01-01-17,1,January,2017,17,Youth (<25),1,M,canada,Bikes,2,1519.0,2443.0,1848.0,3038.0,4886.0
01-01-17,1,January,2017,23,Youth (<25),1,M,Australia,Bikes,2,1252.0,2295.0,2086.0,2504.0,4590.0
01-01-17,1,January,2017,33,Young Adults (25-34),1,F,France,Bikes,2,2171.0,3578.0,2814.0,4342.0,7156.0
01-01-17,1,January,2017,39,Adults (35-64),1,M,United States,Bikes,2,713.0,1120.0,814.0,1426.0,2240.0
01-01-17,1,January,2017,42,Adults (35-64),1,M,United States,Bikes,2,344.0,540.0,392.0,688.0,1080.0
02-01-17,2,January,2017,32,Young Adults (25-34),1,M,United Kingdom,Bikes,2,713.0,1120.0,814.0,1426.0,2240.0
02-01-17,2,January,2017,35,Adults (35-64),1,F,United States,Bikes,2,713.0,1120.0,814.0,1426.0,2240.0
02-01-17,2,January,2017,40,Adults (35-64),1,M,Australia,Bikes,2,713.0,1120.0,814.0,1426.0,2240.0
02-01-17,2,January,2017,41,Adults (35-64),1,F,Australia,Bikes,2,1555.0,2443.0,1776.0,3110.0,4886.0
03-01-17,3,January,2017,28,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1252.0,2295.0,2086.0,2504.0,4590.0
03-01-17,3,January,2017,29,Young Adults (25-34),1,F,United States,Bikes,2,1266.0,2320.0,2108.0,2532.0,4640.0
03-01-17,3,January,2017,38,Adults (35-64),1,M,United Kingdom,Bikes,2,1266.0,2320.0,2108.0,2532.0,4640.0
03-01-17,3,January,2017,39,Adults (35-64),1,F,United States,Bikes,2,2171.0,3578.0,2814.0,4342.0,7156.0
03-01-17,3,January,2017,42,Adults (35-64),1,F,Australia,Bikes,2,344.0,540.0,392.0,688.0,1080.0
03-01-17,3,January,2017,45,Adults (35-64),1,F,Australia,Bikes,2,344.0,540.0,392.0,688.0,1080.0
03-01-17,3,January,2017,45,Adults (35-64),1,M,canada,Bikes,2,344.0,540.0,392.0,688.0,1080.0
03-01-17,3,January,2017,47,Adults (35-64),1,M,Australia,Bikes,2,713.0,1120.0,814.0,1426.0,2240.0
04-01-17,4,January,2017,28,Young Adults (25-34),1,M,United Kingdom,Bikes,2,1252.0,2295.0,2086.0,2504.0,4590.0
